name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Punjabi Corner,North Indian,250,1,0,1,3.3,Average,55,New Delhi,Kalkaji,28.5437553972,77.2506595775,Rs.,Budget,North Indian,Average,Has Delivery
Sant Sweets,"Street Food, North Indian, Mithai",250,0,0,1,3.5,Good,60,New Delhi,Kalkaji,28.5440004410,77.2504899278,Rs.,Budget,Street Food,Good,No Delivery
Punjabi Xpress,"North Indian, Chinese",400,1,0,1,2.3,Poor,9,New Delhi,Kalkaji,28.5434767770,77.2490817681,Rs.,Budget,North Indian,Poor,Has Delivery
Big Chow Xpress,"Chinese, North Indian",550,1,0,2,2.6,Average,58,New Delhi,Kalkaji,28.5370694871,77.2639412060,Rs.,Moderate,Chinese,Poor,Has Delivery
China Fare,Chinese,1000,0,0,3,3.7,Good,243,New Delhi,Khan Market,28.5999935000,77.2276954000,Rs.,Premium,Chinese,Good,No Delivery
Latitude 28,"American, Continental, Italian",2000,0,1,4,3.8,Good,203,New Delhi,Khan Market,28.5996365000,77.2264353000,Rs.,Luxury,American,Good,No Delivery
Prabhu Chaat Bhandar,Street Food,150,0,0,1,3.2,Average,242,New Delhi,Khan Market,28.6095619000,77.2276721000,Rs.,Budget,Street Food,Average,No Delivery
Parallel,"Continental, American",2000,0,1,4,4.0,Very Good,79,New Delhi,Khan Market,28.5997318000,77.2265493000,Rs.,Luxury,Continental,Very Good,No Delivery
Azam's Mughlai,Mughlai,600,0,0,2,3.9,Good,157,New Delhi,Khan Market,28.5999361000,77.2260623000,Rs.,Moderate,Mughlai,Good,No Delivery
Larry's China - Taj Vivanta,Chinese,3200,0,1,4,3.7,Good,147,New Delhi,"Taj Vivanta, Khan Market",28.6011707000,77.2294235000,Rs.,Luxury,Chinese,Good,No Delivery
Omazoni,"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",650,1,0,2,2.5,Average,120,New Delhi,Khan Market,28.6004185000,77.2252919000,Rs.,Moderate,North Indian,Poor,Has Delivery
Laziz Kabab (Subhash Restaurant),Mughlai,400,0,0,1,3.7,Good,79,New Delhi,Khan Market,28.6006577000,77.2259206000,Rs.,Budget,Mughlai,Good,No Delivery
t Lounge by Dilmah,"Cafe, Tea, Desserts",800,0,0,2,3.6,Good,34,New Delhi,Khan Market,28.6010869000,77.2271332000,Rs.,Moderate,Cafe,Good,No Delivery
Owl is Well,"Burger, American, Fast Food, Italian, Pizza",1000,1,0,3,4.5,Excellent,162,New Delhi,Greater Kailash (GK) 1,28.5416359802,77.2407028824,Rs.,Premium,Burger,Excellent,Has Delivery
